price,mileage,year,make,model,trim,distance from zip
"$16,900","20,212 mi.",2019,Honda,Passport,['SPORT'],(1 mi. from 33186)
"$18,800","34,100 mi.",2019,Cadillac,XT4,"['FREE', 'DELIVERY!', 'Fully']",(1 mi. from 33186)
"$27,854","70,347 mi.",2019,Chevrolet,Tahoe,['LT'],(1 mi. from 33186)
"$12,900","72,211 mi.",2018,Volkswagen,Tiguan,"['S', 'fwd', '2.0T']",(13 mi. from 33186)
"$14,468","79,490 mi.",2018,Hyundai,Santa,"['Fe', '2.4', 'Base']",(1 mi. from 33186)
"$15,500","51,824 mi.",2018,Alfa,Romeo,"['Stelvio', 'Ti', 'AWD']",(13 mi. from 33186)
"$15,876","97,300 mi.",2018,Toyota,Camry,['SE'],(1 mi. from 33186)
"$16,850","40,550 mi.",2018,Alfa,Romeo,"['Stelvio', 'Ti', 'AWD']",(13 mi. from 33186)
"$42,999","68,775 mi.",2018,Jeep,Wrangler,"['Sahara', '4x4', '4dr']",(26 mi. from 33186)
"$49,995","24,341 mi.",2018,GMC,Sierra,"['1500', '4WD', 'Crew']",(1 mi. from 33186)
"$11,999","102,735 mi.",2017,Nissan,Rogue,['SV'],(1 mi. from 33186)
"$13,500","72,000 mi.",2017,Infiniti,Q50,['PREMIUM'],(13 mi. from 33186)
"$13,900","58,685 mi.",2017,Audi,A4,[],(1 mi. from 33186)
"$13,994","80,575 mi.",2017,BMW,X1,['sDrive28i'],(1 mi. from 33186)
"$14,000","86,495 mi.",2017,Jaguar,XF,"['35t', 'Premium', '4dr']",(26 mi. from 33186)
"$14,900","74,807 mi.",2017,Mercedes-Benz,E-Class,[],(1 mi. from 33186)
"$16,500","66,535 mi.",2017,Infiniti,QX60,[],(13 mi. from 33186)
"$18,000","60,346 mi.",2017,Chrysler,Pacifica,"['TOURING', 'L']",(26 mi. from 33186)
"$51,988","30,165 mi.",2017,Mercedes-Benz,S-Class,"['S63', 'Carfax', 'certified']",(13 mi. from 33186)
"$8,870","178,258 mi.",2016,Volvo,XC60,"['FWD', '4dr', 'T5']",(26 mi. from 33186)
"$8,898","106,242 mi.",2016,Nissan,Altima,"['2.5', 'SR']",(1 mi. from 33186)
"$9,999","77,379 mi.",2016,Nissan,Titan,['SL'],(1 mi. from 33186)
"$11,499","159,585 mi.",2016,Dodge,Charger,[],(1 mi. from 33186)
"$12,000","72,144 mi.",2016,BMW,5-Series,"['528i', '4dr', 'Sedan']",(26 mi. from 33186)
"$13,899","155,708 mi.",2016,Chevrolet,Tahoe,['LT'],(1 mi. from 33186)
"$14,500","114,840 mi.",2016,Mercedes-Benz,E-Class,[],(13 mi. from 33186)
"$16,888","63,686 mi.",2016,Maserati,Ghibli,[],(1 mi. from 33186)
"$19,500","70,950 mi.",2016,Volvo,XC90,"['AWD', '4dr', 'T6']",(13 mi. from 33186)
"$41,500","65,000 mi.",2016,BMW,X5,[],(1 mi. from 33186)
"$165,777","44,057 mi.",2016,Rolls-Royce,Dawn,[],(26 mi. from 33186)
"$7,900","116,144 mi.",2015,Honda,Accord,[],(1 mi. from 33186)
"$8,889","114,449 mi.",2015,Mazda,CX-9,['Touring'],(1 mi. from 33186)
"$8,900","67,821 mi.",2015,Infiniti,QX50,[],(1 mi. from 33186)
"$10,999","92,558 mi.",2015,Dodge,Durango,['SXT'],(1 mi. from 33186)
"$13,988","153,939 mi.",2015,Chevrolet,Tahoe,['LT'],(1 mi. from 33186)
"$15,799","72,437 mi.",2015,Mercedes-Benz,C-Class,"['C', '300']",(1 mi. from 33186)
"$18,725","190,225 mi.",2015,Cadillac,Escalade,"['Luxury', '4X4']",(26 mi. from 33186)
"$23,999","103,190 mi.",2015,Porsche,Cayenne,"['AWD', '4dr', 'S']",(1 mi. from 33186)
